Name, a (au), e, i (deg), O (deg), w (deg), d0 (au), k (Re/yr), phi0 (deg), epsilon (au), eta, MEI
(433) Eros, 1.458, 0.223, 10.828, 304.273, 178.914, 0.148913, 0.0230, 359.7, 0.000365, 0.0025, 7.1
(719) Albert, 2.636, 0.547, 11.575, 183.858, 156.212, 0.200248, -0.0048, --, 0.019036, 0.0971, 7.6
(887) Alinda, 2.474, 0.571, 9.401, 110.413, 350.488, 0.037281, 16.2101, 349.3, 0.042397, 0.3419, 6.8
(1036) Ganymed, 2.666, 0.533, 26.686, 215.495, 132.503, 0.338733, 2.8430, 31.7, 0.009589, 0.0274, 8.6
(1221) Amor, 1.920, 0.435, 11.868, 171.246, 26.736, 0.107819, 0.3568, 26.6, 0.002117, 0.0194, 7.4
(1566) Icarus, 1.078, 0.827, 22.804, 87.954, 31.433, 0.033925, -1.3000, 77.1, 0.000158, 0.0056, 4.5
(1580) Betulia, 2.195, 0.488, 52.188, 62.227, 159.731, 0.135131, 2.9272, 8.4, 0.003471, 0.0236, 7.6
(1620) Geographos, 1.246, 0.336, 13.336, 337.149, 277.005, 0.029838, -0.6546, 304.6, 0.000386, 0.0143, 4.4
(1627) Ivar, 1.863, 0.397, 8.455, 133.075, 167.842, 0.111483, -0.1685, 11.7, 0.001204, 0.0109, 7.3
(1685) Toro, 1.368, 0.436, 9.382, 274.209, 127.276, 0.050825, 0.6752, 243.4, 0.000311, 0.0058, 6.4
(1862) Apollo, 1.471, 0.560, 6.352, 35.557, 286.029, 0.026059, 0.6279, 102.3, 0.000328, 0.0114, 5.4
(1863) Antinous, 2.261, 0.606, 18.350, 345.869, 268.705, 0.187104, -2.6769, 295.3, 0.004861, 0.0274, 7.6
(1864) Daedalus, 1.461, 0.614, 22.213, 6.608, 325.663, 0.269513, 1.5547, 278.3, 0.000306, 0.0011, 8.5
(1865) Cerberus, 1.080, 0.467, 16.101, 212.887, 325.293, 0.156613, 0.5438, 286.4, 0.000162, 0.0010, 7.3
(1866) Sisyphus, 1.894, 0.538, 41.208, 63.454, 293.119, 0.103812, 0.8801, 326.4, 0.000780, 0.0072, 7.4
(1915) Quetzalcoatl, 2.545, 0.570, 20.400, 162.933, 347.759, 0.117320, -21.0383, 351.0, 0.044628, 0.6260, 0.8
(1916) Boreas, 2.273, 0.449, 12.877, 340.601, 335.857, 0.254746, -0.3173, 342.4, 0.005500, 0.0217, 8.4
(1917) Cuyo, 2.149, 0.506, 23.961, 188.275, 194.561, 0.073376, -0.2791, 350.7, 0.003019, 0.0418, 6.4
(1943) Anteros, 1.430, 0.256, 8.709, 246.295, 338.448, 0.062296, -0.1437, 343.1, 0.000393, 0.0064, 6.2
(1980) Tezcatlipoca, 1.710, 0.365, 26.870, 246.544, 115.501, 0.245095, -0.2116, 34.6, 0.000488, 0.0020, 8.3
(1981) Midas, 1.776, 0.650, 39.822, 356.796, 267.846, 0.003458, 0.7872, 314.6, 0.000807, 0.1116, 2.4
(2059) Baboquivari, 2.642, 0.532, 11.023, 200.688, 192.451, 0.255247, -1.4250, 353.0, 0.018527, 0.0753, 8.6
(2061) Anza, 2.265, 0.536, 3.801, 207.359, 157.088, 0.057055, -0.1657, 26.2, 0.006198, 0.1090, 6.5
(2062) Aten, 0.967, 0.183, 18.935, 108.530, 148.060, 0.114046, 0.0670, 26.2, 0.000840, 0.0073, 7.2
(2063) Bacchus, 1.078, 0.349, 9.435, 33.039, 55.341, 0.066879, -0.5758, 70.4, 0.000352, 0.0054, 6.3
(2100) Ra-Shalom, 0.832, 0.437, 15.755, 170.777, 356.073, 0.150014, 0.3888, 298.2, 0.000125, 0.0008, 7.3
(2101) Adonis, 1.874, 0.764, 1.320, 349.422, 43.699, 0.011514, -0.7782, 89.4, 0.000293, 0.0358, 2.4
(2102) Tantalus, 1.290, 0.299, 64.006, 94.352, 61.514, 0.042876, -0.8907, 14.8, 0.000202, 0.0052, 5.4
(2135) Aristaeus, 1.600, 0.503, 23.072, 191.112, 290.977, 0.009570, -0.8483, 315.7, 0.000548, 0.0925, 1.4
(2201) Oljato, 2.179, 0.711, 2.522, 74.866, 98.373, 0.003034, 1.0714, 266.0, 0.001158, 0.1520, 1.4
(2202) Pele, 2.291, 0.513, 8.742, 169.904, 217.997, 0.146085, 0.3328, 330.7, 0.004718, 0.0319, 7.5
(2212) Hephaistos, 2.167, 0.836, 11.269, 26.871, 210.191, 0.115101, -7.8631, 271.5, 0.005154, 0.0628, 6.7
(2329) Orthos, 2.410, 0.653, 24.462, 169.282, 146.053, 0.099749, -0.5802, --, 0.010622, 0.1107, 6.6
(2340) Hathor, 0.844, 0.450, 5.861, 211.289, 40.106, 0.006662, -0.4578, 78.3, 0.000157, 0.0332, 1.3
(2368) Beltrovata, 2.105, 0.413, 5.224, 287.294, 43.069, 0.235021, -0.3324, 17.3, 0.003986, 0.0170, 8.4
(2608) Seneca, 2.532, 0.565, 14.426, 166.468, 38.641, 0.217036, -17.6406, --, 0.063115, 0.5104, 6.8
(3102) Krok, 2.151, 0.449, 8.443, 172.052, 154.765, 0.185534, -0.2365, 18.8, 0.003274, 0.0177, 7.4
(3103) Eger, 1.404, 0.354, 20.930, 129.734, 254.120, 0.078914, 0.7675, 319.3, 0.000593, 0.0072, 6.4
(3122) Florence, 1.769, 0.423, 22.139, 336.046, 27.909, 0.044287, -0.2161, 18.6, 0.001082, 0.0249, 5.3
(3199) Nefertiti, 1.574, 0.284, 32.961, 339.979, 53.437, 0.215606, -0.1893, 20.4, 0.000415, 0.0019, 8.2
(3200) Phaethon, 1.271, 0.890, 22.313, 265.094, 322.307, 0.019008, -2.2672, 102.5, 0.000362, 0.0383, 0.5
(3271) Ul, 2.102, 0.396, 25.068, 158.811, 159.077, 0.276881, 0.6280, 13.5, 0.003681, 0.0132, 8.4
(3288) Seleucus, 2.035, 0.455, 5.927, 218.603, 349.351, 0.107081, 0.0343, 353.4, 0.010061, 0.0948, 6.5
(3352) McAuliffe, 1.879, 0.369, 4.771, 107.328, 16.073, 0.202632, 0.1389, 7.4, 0.001359, 0.0067, 8.3
(3360) Syrinx, 2.468, 0.746, 21.140, 242.456, 63.559, 0.123664, -8.0226, --, 0.016463, 0.1877, 6.7
(3361) Orpheus, 1.210, 0.323, 2.662, 188.676, 302.346, 0.014547, 0.2791, 100.1, 0.000416, 0.0269, 4.3
(3362) Khufu, 0.990, 0.469, 9.916, 152.404, 55.088, 0.013233, -0.4543, 73.1, 0.000317, 0.0283, 3.3
(3551) Verenia, 2.093, 0.487, 9.508, 173.782, 193.302, 0.069512, 0.4703, 348.0, 0.005909, 0.0823, 6.5
(3552) Don Quixote, 4.268, 0.707, 31.059, 349.964, 316.524, 0.392582, 7.5833, 329.0, 0.061873, 0.1534, 8.8
(3553) Mera, 1.645, 0.320, 36.775, 232.490, 288.877, 0.294608, 0.3139, 332.4, 0.000520, 0.0018, 8.3
(3554) Amun, 0.974, 0.281, 23.356, 358.601, 359.418, 0.251108, 0.0865, 352.4, 0.000977, 0.0039, 8.2
(3671) Dionysus, 2.200, 0.542, 13.540, 82.048, 204.335, 0.018180, 0.4610, --, 0.003801, 0.1909, 4.4
(3691) Bede, 1.774, 0.284, 20.348, 348.694, 235.081, 0.352321, -0.1247, 329.8, 0.000984, 0.0028, 8.2
(3752) Camillo, 1.414, 0.302, 55.560, 147.955, 312.220, 0.078523, 0.8246, 347.0, 0.000319, 0.0039, 6.4
(3753) Cruithne, 0.998, 0.515, 19.802, 126.190, 43.882, 0.071046, -0.5977, 64.4, 0.000426, 0.0062, 6.4
(3757) Anagolay, 1.835, 0.446, 3.866, 74.927, 17.236, 0.036763, 0.2358, 22.2, 0.001306, 0.0345, 5.3
(3838) Epona, 1.505, 0.703, 29.199, 235.462, 49.722, 0.159187, -2.8721, 70.6, 0.000567, 0.0039, 7.6
(3908) Nyx, 1.928, 0.459, 2.186, 261.192, 126.661, 0.056708, -0.0498, 34.4, 0.001378, 0.0245, 6.3
(3988) Huma, 1.544, 0.317, 10.768, 229.791, 86.912, 0.177837, 0.4875, 59.9, 0.000300, 0.0017, 7.3
